plotId	plotName	plotTypeSimulation	datasetId	xValues	xOffset	xLabel	yValues	yOffset	yLabel
rki_germany_7day_average_cases	rki_germany_7day_average_cases	LinePlot	rki_germany_7day_average	time	0	time	rki_germany_7day_average_cases	0	rki_germany_7day_average_cases
rki_germany_7day_average_deaths	rki_germany_7day_average_deaths	LinePlot	rki_germany_7day_average	time	0	time	rki_germany_7day_average_deaths	0	rki_germany_7day_average_deaths
